"","X","study_number","lon","lat","reference","site_name","site_number","study_block","country","habitat_description","land_use_specific","land_use","land_use_intensity","species_study_name","genus","species","metric","sample_month","sample_start","sample_start_year","sample_end","sampling_method","sampling_effort","sampling_effort_unit","collection","sample_season","sample_daytime","development_stage","measurement","adjusted_measurement","species_studied","eco_name","biome","study_sample","measurement_adj","species_name","land_use_intensity_agg","LUI"
"302",2355,1121,-51.7969,3.9136,"Adde2017","Martin","1121_5","1121_5","French Guiana","River-Forest-Savannah","primary vegetation","primary vegetation","minimal","Anopheles braziliensis","Anopheles","braziliensis","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",68,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.0693877551020408,"Anopheles braziliensis","minimal","primary vegetation-minimal"
"303",2356,1121,-51.7969,3.9136,"Adde2017","Martin","1121_5","1121_5","French Guiana","River-Forest-Savannah","primary vegetation","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",270,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.275510204081633,"Anopheles darlingi","minimal","primary vegetation-minimal"
"304",2357,1121,-51.7969,3.9136,"Adde2017","Martin","1121_5","1121_5","French Guiana","River-Forest-Savannah","primary vegetation","primary vegetation","minimal","Anopheles nuneztovari s.l.","Anopheles","nuneztovari","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",5,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.00510204081632653,"Anopheles nuneztovari","minimal","primary vegetation-minimal"
"305",2358,1121,-51.7969,3.9136,"Adde2017","Martin","1121_5","1121_5","French Guiana","River-Forest-Savannah","primary vegetation","primary vegetation","minimal","Anopheles triannulatus s.l.","Anopheles","triannulatus","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",3,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.00306122448979592,"Anopheles triannulatus","minimal","primary vegetation-minimal"
"314",2367,1121,-51.8083,3.8915,"Adde2017","Maripa","1121_4","1121_4","French Guiana","Savannah-Urban-Forest","Savannah-urban-forest ecotone","primary vegetation","light","Anopheles braziliensis","Anopheles","braziliensis","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",7,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.00714285714285714,"Anopheles braziliensis","substantial","primary vegetation-substantial"
"315",2368,1121,-51.8083,3.8915,"Adde2017","Maripa","1121_4","1121_4","French Guiana","Savannah-Urban-Forest","Savannah-urban-forest ecotone","primary vegetation","light","Anopheles darlingi","Anopheles","darlingi","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",29,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.0295918367346939,"Anopheles darlingi","substantial","primary vegetation-substantial"
"316",2369,1121,-51.8083,3.8915,"Adde2017","Maripa","1121_4","1121_4","French Guiana","Savannah-Urban-Forest","Savannah-urban-forest ecotone","primary vegetation","light","Anopheles nuneztovari s.l.","Anopheles","nuneztovari","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",5,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.00510204081632653,"Anopheles nuneztovari","substantial","primary vegetation-substantial"
"317",2370,1121,-51.8083,3.8915,"Adde2017","Maripa","1121_4","1121_4","French Guiana","Savannah-Urban-Forest","Savannah-urban-forest ecotone","primary vegetation","light","Anopheles triannulatus s.l.","Anopheles","triannulatus","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",42,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.0428571428571429,"Anopheles triannulatus","substantial","primary vegetation-substantial"
"318",2371,1121,-51.8134,3.8769,"Adde2017","Blondin","1121_2","1121_2","French Guiana","River-Forest","primary vegetation","primary vegetation","minimal","Anopheles braziliensis","Anopheles","braziliensis","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",8,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.00816326530612245,"Anopheles braziliensis","minimal","primary vegetation-minimal"
"319",2372,1121,-51.8134,3.8769,"Adde2017","Blondin","1121_2","1121_2","French Guiana","River-Forest","primary vegetation","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",1100,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",1.12244897959184,"Anopheles darlingi","minimal","primary vegetation-minimal"
