"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"1","1020_1","1020_1","1020_1",1020,"Cardoso2011",-29.65,-50.21666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation","light","secondary vegetation-substantial",6,0
"2","1020_1","1020_1","1020_2",1020,"Cardoso2011",-29.65,-50.21666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation","light","secondary vegetation-substantial",5,0
"3","1020_3","1020_1","1020_2",1020,"Cardoso2011",-29.65,-50.21666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"4","1051_2","1051_2","1051_1",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"5","1051_2","1051_2","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"6","1051_4","1051_4","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","peri-urban","light","urban-substantial",1,1
"7","1051_6","1051_6","1051_1",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","rural","minimal","primary vegetation-minimal",1,1
"8","1051_6","1051_6","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","rural","minimal","primary vegetation-minimal",2,1
"9","1051_7","1051_7","1051_1",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","rural","minimal","primary vegetation-minimal",1,1
"10","1051_7","1051_7","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","rural","minimal","primary vegetation-minimal",2,1
"11","1128_1","1128_1","1128_1",1128,"Marques2009",-23.8518,-45.32626,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"12","1128_2","1128_2","1128_1",1128,"Marques2009",-23.8518,-45.32626,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","peri-urban","light","urban-substantial",1,0
"13","1128_3","1128_3","1128_1",1128,"Marques2009",-23.8518,-45.32626,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","primary Atlantic forest","minimal","primary vegetation-minimal",1,0
"14","1180_1","1180_1","1180_1",1180,"Chaves2021",-8.077336,-72.890709,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","peridomestic rural settlement comprised mainly of subsistence farms with cassava, yam, coffee, acai, banana and rice plantations","light","managed-substantial",1,1
"15","1180_2","1180_1","1180_2",1180,"Chaves2021",-8.077336,-72.890709,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","tropical rainforest fringe","minimal","primary vegetation-minimal",5,1
"16","1180_3","1180_1","1180_2",1180,"Chaves2021",-8.077336,-72.890709,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","tropical rainforest fringe","light","secondary vegetation-substantial",4,1
"17","1350_1","1350_1","1350_1",1350,"Ribeiro2012",-23.9333333333333,-46.6333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest remnant","minimal","secondary vegetation-minimal",2,0
"18","1350_1","1350_1","1350_2",1350,"Ribeiro2012",-23.9333333333333,-46.6333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest remnant","minimal","secondary vegetation-minimal",1,0
"19","1350_1","1350_1","1350_3",1350,"Ribeiro2012",-23.9333333333333,-46.6333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest remnant","minimal","secondary vegetation-minimal",2,0
"20","1350_2","1350_2","1350_1",1350,"Ribeiro2012",-23.8833333333333,-46.7333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","agriculture","intense","managed-substantial",2,0
"21","1350_2","1350_2","1350_2",1350,"Ribeiro2012",-23.8833333333333,-46.7333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","agriculture","intense","managed-substantial",2,0
"22","1350_2","1350_2","1350_3",1350,"Ribeiro2012",-23.8833333333333,-46.7333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","agriculture","intense","managed-substantial",2,0
"23","1355_1","1355_1","1355_2",1355,"Radocy2014",-12.56666667,-70.1,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","lowland rainforest","minimal","primary vegetation-minimal",1,1
"24","1379_1","1379_1","1379_1",1379,"Alencar2011",-22.4666666666667,-43.2166666666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","ornamental plants","intense","managed-substantial",6,0
"25","1379_2","1379_2","1379_1",1379,"Alencar2011",-22.4666666666667,-43.2166666666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","modified vegetation","intense","secondary vegetation-substantial",2,0
"26","1379_3","1379_3","1379_1",1379,"Alencar2011",-22.4666666666667,-43.2166666666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary forest","light","secondary vegetation-substantial",3,0
"27","1379_4","1379_4","1379_1",1379,"Alencar2011",-22.4666666666667,-43.2166666666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary forest","light","secondary vegetation-substantial",3,0
"28","1396_1","1396_1","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","urban forest fragment","light","secondary vegetation-substantial",2,0
"29","1396_2","1396_2","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,0
"30","1396_3","1396_3","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation","light","secondary vegetation-substantial",2,0
"31","1396_4","1396_4","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation","intense","secondary vegetation-substantial",3,0
"32","1396_5","1396_5","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","wetland","light","primary vegetation-substantial",2,0
"33","1465_2","1465_2","1465_1",1465,"Alfonzo2005",9.066666667,-72.56666667,"Venezuela","Tropical & Subtropical Moist Broadleaf Forests","managed","pasture","intense","managed-substantial",4,0
"34","1484_1","1484_1","1484_1",1484,"Alencar2015",-22.453,-42.7703,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","pasture","intense","managed-substantial",3,0
"35","1484_2","1484_2","1484_1",1484,"Alencar2015",-22.453,-42.7703,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest","light","primary vegetation-substantial",4,0
"36","1489_1","1489_1","1489_1",1489,"Wilk2020",-23.4510333333333,-46.6357166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest","light","secondary vegetation-substantial",1,0
"37","1489_1","1489_1","1489_2",1489,"Wilk2020",-23.4510333333333,-46.6357166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest","light","secondary vegetation-substantial",1,0
"38","1489_1","1489_1","1489_3",1489,"Wilk2020",-23.4510333333333,-46.6357166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest","light","secondary vegetation-substantial",5,0
"39","1489_2","1489_1","1489_1",1489,"Wilk2020",-23.45395,-46.6348166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"40","1489_2","1489_1","1489_2",1489,"Wilk2020",-23.45395,-46.6348166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",4,0
"41","1489_2","1489_1","1489_3",1489,"Wilk2020",-23.45395,-46.6348166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",5,0
"42","1489_3","1489_2","1489_1",1489,"Wilk2020",-23.4104,-46.6200833333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","intense","primary vegetation-substantial",2,0
"43","1489_3","1489_2","1489_2",1489,"Wilk2020",-23.4104,-46.6200833333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","intense","primary vegetation-substantial",3,0
"44","1489_3","1489_2","1489_3",1489,"Wilk2020",-23.4104,-46.6200833333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","intense","primary vegetation-substantial",5,0
"45","1530_1","1530_1","1530_1",1530,"Valentine2020",17.3507,-62.7681,"Saint Kitts and Nevis","Tropical & Subtropical Moist Broadleaf Forests","managed","agriculture","intense","managed-substantial",3,0
"46","1530_2","1530_1","1530_1",1530,"Valentine2020",17.3507,-62.7681,"Saint Kitts and Nevis","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","mangrove","light","primary vegetation-substantial",3,0
"47","1530_3","1530_1","1530_1",1530,"Valentine2020",17.3507,-62.7681,"Saint Kitts and Nevis","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","rainforest","light","primary vegetation-substantial",3,0
"48","1530_5","1530_1","1530_1",1530,"Valentine2020",17.3507,-62.7681,"Saint Kitts and Nevis","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,0
"49","1536_3","1536_3","1536_1",1536,"Alencar2016",-22.5644722222222,-42.2879722222222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic Forest","light","secondary vegetation-substantial",2,0
"50","1536_3","1536_3","1536_2",1536,"Alencar2016",-22.5644722222222,-42.2879722222222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic Forest","light","secondary vegetation-substantial",1,0
"51","1536_3","1536_3","1536_3",1536,"Alencar2016",-22.5644722222222,-42.2879722222222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic Forest","light","secondary vegetation-substantial",1,0
"52","1536_3","1536_3","1536_4",1536,"Alencar2016",-22.5644722222222,-42.2879722222222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic Forest","light","secondary vegetation-substantial",1,0
