"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"1","1020_1","1020_1","1020_1",1020,"Cardoso2011",-29.65,-50.21666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation","light","secondary vegetation-substantial",8,0
"2","1020_1","1020_1","1020_2",1020,"Cardoso2011",-29.65,-50.21666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation","light","secondary vegetation-substantial",10,0
"3","1020_3","1020_1","1020_2",1020,"Cardoso2011",-29.65,-50.21666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"4","1051_1","1051_1","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"5","1051_2","1051_2","1051_1",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"6","1051_2","1051_2","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"7","1051_3","1051_3","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"8","1051_4","1051_4","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","peri-urban","light","urban-substantial",1,1
"9","1051_5","1051_5","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","peri-urban","light","urban-substantial",1,1
"10","1051_6","1051_6","1051_1",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","rural","minimal","primary vegetation-minimal",4,1
"11","1051_6","1051_6","1051_2",1051,"Johnson2008",-3.85,-73.21666667,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","rural","minimal","primary vegetation-minimal",4,1
